ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Electricity Duty Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Agricultural Produce Marketing Regulation Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Co-operative Societies Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Land Reforms Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Secondary Education Examination Board Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Secondary Education Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Open University Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Higher Education Council Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Lokayukta Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Servants (Determination of Age) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Prevention of Strikes) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Special Recruitment) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Recruitment to ministerial posts) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (General Recruitment) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Classification Control and Appeal) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Conduct) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Medical Attendance) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Travelling Allowance) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Performance Reports) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Confidential Reports) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (LTC) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Pension) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Commutation of Pension) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Compassionate Appointment) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Appointment on compassionate grounds) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of Gazetted Probationers) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Special Recruitment of scheduled castes and scheduled tribes) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment to group D posts) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of local candidates) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of physically handicapped persons) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of ex-servicemen) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of rural candidates) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of project displaced persons) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of kannada medium candidates) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of sports persons) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (General Recruitment) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Validation of appointments) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Validation of selection) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of teachers in private colleges) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of teachers in private schools) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of teachers in aided institutions) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of employees in aided institutions) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of employees in private institutions) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Others,128,10,12,14
